STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,STATE,FULLNAME,PERCENT
39,131,1074078,0500000US39131,39131,Pike,6,1140324458,9567612,OH,Pike County,11.8
46,3,1266983,0500000US46003,46003,Aurora,6,1834813753,11201379,SD,Aurora County,17.9
55,35,1581077,0500000US55035,55035,Eau Claire,6,1652211310,18848512,WI,Eau Claire County,31.1
72,145,1804553,0500000US72145,72145,Vega Baja,13,118766803,57805868,PR,Vega Baja Municipio,20
48,259,1383915,0500000US48259,48259,Kendall,6,1715747531,1496797,TX,Kendall County,40.8
40,15,1101795,0500000US40015,40015,Caddo,6,-984222172,30820525,OK,Caddo County,15.8
19,93,465235,0500000US19093,19093,Ida,6,1117599859,1406461,IA,Ida County,19.3
28,71,695759,0500000US28071,28071,Lafayette,6,1636141755,123052156,MS,Lafayette County,38.3
12,27,294452,0500000US12027,12027,DeSoto,6,1649978040,6247257,FL,DeSoto County,9.7
31,137,835890,0500000US31137,31137,Phelps,6,1398048574,1646534,NE,Phelps County,22.7
26,143,1623014,0500000US26143,26143,Roscommon,6,1345852870,156421369,MI,Roscommon County,14.4
16,75,394896,0500000US16075,16075,Payette,6,1053857317,8870732,ID,Payette County,15.7
45,83,1248592,0500000US45083,45083,Spartanburg,6,2092597504,29211230,SC,Spartanburg County,22.7
36,9,974103,0500000US36009,36009,Cattaraugus,6,-906330235,36604688,NY,Cattaraugus County,17.8
18,37,451675,0500000US18037,18037,Dubois,6,1106624776,20884565,IN,Dubois County,18.7
19,147,465262,0500000US19147,19147,Palo Alto,6,1460391660,14437623,IA,Palo Alto County,20
20,207,485064,0500000US20207,20207,Woodson,6,1289347405,19251488,KS,Woodson County,16
26,25,1622955,0500000US26025,26025,Calhoun,6,1829249870,31275675,MI,Calhoun County,20.1
31,99,835871,0500000US31099,31099,Kearney,6,1337063630,274634,NE,Kearney County,24.1
40,149,1101862,0500000US40149,40149,Washita,6,-1696777437,14579002,OK,Washita County,20
46,57,1265766,0500000US46057,46057,Hamlin,6,1313731177,79864239,SD,Hamlin County,20.1
72,129,1804545,0500000US72129,72129,San Lorenzo,13,137547980,256425,PR,San Lorenzo Municipio,18.4
48,81,1383826,0500000US48081,48081,Coke,6,-1934271026,42788774,TX,Coke County,20.6
72,19,1804489,0500000US72019,72019,Barranquitas,13,88714041,77812,PR,Barranquitas Municipio,18.9
20,181,485053,0500000US20181,20181,Sherman,6,-1559773991,548248,KS,Sherman County,14.1
29,81,758495,0500000US29081,29081,Harrison,6,1871276777,10103762,MO,Harrison County,12.3
40,135,1101855,0500000US40135,40135,Sequoyah,6,1743779422,105832791,OK,Sequoyah County,13.5
8,35,198133,0500000US08035,8035,Douglas,6,-2118694579,6752511,CO,Douglas County,56.6
18,59,450357,0500000US18059,18059,Hancock,6,792580849,2610512,IN,Hancock County,28.3
19,13,465196,0500000US19013,19013,Black Hawk,6,1465369216,17862718,IA,Black Hawk County,27
22,61,558077,0500000US22061,22061,Lincoln,15,1221806136,1897709,LA,Lincoln Parish,35.6
29,107,758508,0500000US29107,29107,Lafayette,6,1627640379,27215050,MO,Lafayette County,18.3
39,47,1074036,0500000US39047,39047,Fayette,6,1052470875,1693045,OH,Fayette County,14.1
48,163,1383867,0500000US48163,48163,Frio,6,-1359213788,2193620,TX,Frio County,8
48,445,1384008,0500000US48445,48445,Terry,6,-1992884069,5443861,TX,Terry County,12.6
72,61,1804511,0500000US72061,72061,Guaynabo,13,71444703,468234,PR,Guaynabo Municipio,45.1
56,31,1605080,0500000US56031,56031,Platte,6,5398019716,69035952,WY,Platte County,21.7
19,99,465238,0500000US19099,19099,Jasper,6,1891773617,6565650,IA,Jasper County,18.2
20,35,484987,0500000US20035,20035,Cowley,6,-1379310300,17314108,KS,Cowley County,19.2
38,39,1034219,0500000US38039,38039,Griggs,6,1835826859,19759408,ND,Griggs County,18.3
22,21,558477,0500000US22021,22021,Caldwell,15,1371203830,29277303,LA,Caldwell Parish,10.2
27,17,659454,0500000US27017,27017,Carlton,6,-2064146174,36133709,MN,Carlton County,22.8
18,87,450368,0500000US18087,18087,LaGrange,6,983237254,18317909,IN,LaGrange County,9.8
20,209,485065,0500000US20209,20209,Wyandotte,6,392647716,11890112,KS,Wyandotte County,15.9
19,195,465286,0500000US19195,19195,Worth,6,1036314927,4709127,IA,Worth County,15.4
31,135,835889,0500000US31135,31135,Perkins,6,-2007139277,2840176,NE,Perkins County,22
8,95,198163,0500000US08095,8095,Phillips,6,1781724973,301808,CO,Phillips County,21.2
29,3,758456,0500000US29003,29003,Andrew,6,1120696556,9649938,MO,Andrew County,23.3
36,117,974156,0500000US36117,36117,Wayne,6,1563903156,2018194942,NY,Wayne County,20.6
36,71,974134,0500000US36071,36071,Orange,6,2103888458,68104062,NY,Orange County,29.2
13,195,1688004,0500000US13195,13195,Madison,6,731184844,8484618,GA,Madison County,15.6
31,151,835897,0500000US31151,31151,Saline,6,1486698709,5934626,NE,Saline County,14.2
17,81,424242,0500000US17081,17081,Jefferson,6,1479314409,32679991,IL,Jefferson County,16.3
19,67,465222,0500000US19067,19067,Floyd,6,1296631080,1942548,IA,Floyd County,18.2
19,107,465242,0500000US19107,19107,Keokuk,6,1500067253,1929323,IA,Keokuk County,15.5
31,143,835893,0500000US31143,31143,Polk,6,1135309850,5947394,NE,Polk County,19.6
20,135,485031,0500000US20135,20135,Ness,6,-1511409343,667491,KS,Ness County,19.8
27,123,659507,0500000US27123,27123,Ramsey,6,394086415,46423386,MN,Ramsey County,40.4
29,15,758462,0500000US29015,29015,Benton,6,1823463548,125579915,MO,Benton County,11.3
42,21,1213662,0500000US42021,42021,Cambria,6,1782823119,13677295,PA,Cambria County,19.1
48,65,1383818,0500000US48065,48065,Carson,6,-1911607547,10064086,TX,Carson County,24.4
72,27,1804493,0500000US72027,72027,Camuy,13,120058277,40430074,PR,Camuy Municipio,20.5
51,11,1497238,0500000US51011,51011,Appomattox,6,863689281,3204692,VA,Appomattox County,17.7
51,830,1789076,0500000US51830,51830,Williamsburg,25,23098592,416082,VA,Williamsburg city,52.4
48,413,1383992,0500000US48413,48413,Schleicher,6,-900421225,87401,TX,Schleicher County,19.5
19,15,465197,0500000US19015,19015,Boone,6,1480363619,5358112,IA,Boone County,23.2
28,75,695761,0500000US28075,28075,Lauderdale,6,1822451131,29787695,MS,Lauderdale County,18.7
21,33,516863,0500000US21033,21033,Caldwell,6,893006769,8700648,KY,Caldwell County,16.4
48,69,1383820,0500000US48069,48069,Castro,6,-1978393882,12584396,TX,Castro County,13.2
28,117,695779,0500000US28117,28117,Prentiss,6,1074778137,8353594,MS,Prentiss County,11.9
20,205,485063,0500000US20205,20205,Wilson,6,1477377648,12056867,KS,Wilson County,14.7
20,113,485021,0500000US20113,20113,McPherson,6,-1968446720,6030190,KS,McPherson County,27.4
31,163,835903,0500000US31163,31163,Sherman,6,1465489243,15062146,NE,Sherman County,14.7
17,35,424219,0500000US17035,17035,Cumberland,6,896203087,2531272,IL,Cumberland County,13.6
5,27,63761,0500000US05027,5027,Columbia,6,1984105630,1774699,AR,Columbia County,20
6,75,277302,0500000US06075,6075,San Francisco,6,121455687,479136515,CA,San Francisco County,53.8
21,3,516848,0500000US21003,21003,Allen,6,891830441,19492342,KY,Allen County,13.6
36,15,974106,0500000US36015,36015,Chemung,6,1055038643,8874334,NY,Chemung County,23.4
