FIPS Code,State,Area name,"Percent of adults with a bachelor's degree or higher, 2011-2015"
00000,US,United States,29.8
01000,AL,Alabama,23.5
01001,AL,Autauga County,23.2
01003,AL,Baldwin County,29.0
01005,AL,Barbour County,12.5
01007,AL,Bibb County,10.6
01009,AL,Blount County,12.9
01011,AL,Bullock County,13.9
01013,AL,Butler County,14.5
01015,AL,Calhoun County,17.6
01017,AL,Chambers County,11.6
01019,AL,Cherokee County,13.8
01021,AL,Chilton County,14.1
01023,AL,Choctaw County,11.8
01025,AL,Clarke County,12.9
01027,AL,Clay County,9.6
01029,AL,Cleburne County,12.1
01031,AL,Coffee County,23.9
01033,AL,Colbert County,18.6
01035,AL,Conecuh County,8.2
01037,AL,Coosa County,8.5
01039,AL,Covington County,14.3
01041,AL,Crenshaw County,14.3
01043,AL,Cullman County,14.6
01045,AL,Dale County,16.4
01047,AL,Dallas County,14.0
01049,AL,DeKalb County,11.2
01051,AL,Elmore County,21.4
01053,AL,Escambia County,12.5
01055,AL,Etowah County,16.0
01057,AL,Fayette County,14.1
01059,AL,Franklin County,11.4
01061,AL,Geneva County,12.3
01063,AL,Greene County,10.9
01065,AL,Hale County,13.9
01067,AL,Henry County,16.5
01069,AL,Houston County,20.6
01071,AL,Jackson County,12.4
01073,AL,Jefferson County,30.8
01075,AL,Lamar County,11.5
01077,AL,Lauderdale County,21.8
01079,AL,Lawrence County,11.1
01081,AL,Lee County,34.0
01083,AL,Limestone County,23.2
01085,AL,Lowndes County,14.1
01087,AL,Macon County,19.3
01089,AL,Madison County,39.4
01091,AL,Marengo County,15.3
01093,AL,Marion County,11.5
01095,AL,Marshall County,16.6
01097,AL,Mobile County,22.0
01099,AL,Monroe County,12.2
01101,AL,Montgomery County,31.1
01103,AL,Morgan County,21.3
01105,AL,Perry County,13.2
01107,AL,Pickens County,9.9
01109,AL,Pike County,23.4
01111,AL,Randolph County,15.1
01113,AL,Russell County,17.1
01115,AL,St. Clair County,15.6
01117,AL,Shelby County,40.8
01119,AL,Sumter County,16.3
01121,AL,Talladega County,13.1
01123,AL,Tallapoosa County,17.3
01125,AL,Tuscaloosa County,28.5
01127,AL,Walker County,10.8
01129,AL,Washington County,9.9
01131,AL,Wilcox County,12.5
01133,AL,Winston County,11.4
02000,AK,Alaska,28.0
02010,AK,Aleutian Islands,
02013,AK,Aleutians East Borough,14.0
02016,AK,Aleutians West Census Area,14.7
02020,AK,Anchorage Municipality,33.2
02050,AK,Bethel Census Area,11.6
02060,AK,Bristol Bay Borough,20.0
02068,AK,Denali Borough,33.3
02070,AK,Dillingham Census Area,16.2
02090,AK,Fairbanks North Star Borough,31.7
02100,AK,Haines Borough,35.6
02105,AK,Hoonah-Angoon Census Area,26.6
02110,AK,Juneau City and Borough,38.5
02122,AK,Kenai Peninsula Borough,22.8
02130,AK,Ketchikan Gateway Borough,23.8
02150,AK,Kodiak Island Borough,24.7
02158,AK,Kusilvak Census Area,5.0
02160,AK,Kuskokwim Division,
02164,AK,Lake and Peninsula Borough,12.9
02170,AK,Matanuska-Susitna Borough,20.7
02180,AK,Nome Census Area,14.1
02185,AK,North Slope Borough,13.9
02188,AK,Northwest Arctic Borough,10.6
02195,AK,Petersburg Census Area,25.3
02198,AK,Prince of Wales-Hyder Census Area,15.5
02201,AK,Prince of Wales-Outer Ketchikan Census Area,
02220,AK,Sitka City and Borough,31.2
02230,AK,Skagway Municipality,35.9
02231,AK,Skagway-Yakutat-Angoon Census Area,
02232,AK,Skagway-Hoonah-Angoon Census Area,
02240,AK,Southeast Fairbanks Census Area,17.9
02250,AK,Upper Yukon Division,
02261,AK,Valdez-Cordova Census Area,28.7
02275,AK,Wrangell City and Borough,19.9
02280,AK,Wrangell-Petersburg Census Area,
02282,AK,Yakutat City and Borough,15.3
02290,AK,Yukon-Koyukuk Census Area,11.2
04000,AZ,Arizona,27.5
04001,AZ,Apache County,10.8
04003,AZ,Cochise County,22.9
04005,AZ,Coconino County,33.6
04007,AZ,Gila County,16.7
04009,AZ,Graham County,13.2
04011,AZ,Greenlee County,10.8
04012,AZ,La Paz County,9.9
04013,AZ,Maricopa County,30.4
04015,AZ,Mohave County,11.8
04017,AZ,Navajo County,14.7
04019,AZ,Pima County,30.3
04021,AZ,Pinal County,18.0
04023,AZ,Santa Cruz County,22.0
04025,AZ,Yavapai County,25.6
04027,AZ,Yuma County,14.4
05000,AR,Arkansas,21.1
05001,AR,Arkansas County,12.4
05003,AR,Ashley County,13.2
05005,AR,Baxter County,17.9
05007,AR,Benton County,30.2
05009,AR,Boone County,14.7
05011,AR,Bradley County,13.0
05013,AR,Calhoun County,10.4
05015,AR,Carroll County,16.7
05017,AR,Chicot County,11.1
05019,AR,Clark County,23.9
05021,AR,Clay County,11.0
05023,AR,Cleburne County,16.8
05025,AR,Cleveland County,15.4
05027,AR,Columbia County,20.0
05029,AR,Conway County,16.5
05031,AR,Craighead County,25.4
05033,AR,Crawford County,14.5
05035,AR,Crittenden County,16.4
05037,AR,Cross County,13.7
05039,AR,Dallas County,13.1
05041,AR,Desha County,11.9
05043,AR,Drew County,20.5
05045,AR,Faulkner County,28.3
05047,AR,Franklin County,12.3
05049,AR,Fulton County,10.6
05051,AR,Garland County,21.4
05053,AR,Grant County,17.1
05055,AR,Greene County,15.4
05057,AR,Hempstead County,12.2
05059,AR,Hot Spring County,13.0
05061,AR,Howard County,15.1
05063,AR,Independence County,15.9
05065,AR,Izard County,12.7
05067,AR,Jackson County,8.8
05069,AR,Jefferson County,17.5
05071,AR,Johnson County,17.1
05073,AR,Lafayette County,11.8
05075,AR,Lawrence County,12.9
05077,AR,Lee County,7.9
05079,AR,Lincoln County,8.9
05081,AR,Little River County,10.0
05083,AR,Logan County,12.6
05085,AR,Lonoke County,19.1
05087,AR,Madison County,10.7
05089,AR,Marion County,13.2
05091,AR,Miller County,14.3
05093,AR,Mississippi County,13.2
